stock_id:ID,name,list_date,reg_capital,setup_date,employees,:LABEL
000150,宜华健康,20000807,87769.7557,19930219,13668.0,Company
000151,中成股份,20000906,29598.0,19990301,384.0,Company
000153,丰原药业,20000920,31214.123,19970830,4758.0,Company
000155,川能动力,20000926,127000.0,19971020,212.0,Company
000156,华数传媒,20000906,143335.1902,19940630,4919.0,Company
000157,中联重科,20001012,783981.3567,19990831,15121.0,Company
000158,常山北明,20000724,165287.4961,19981229,5092.0,Company
000159,国际实业,20000926,48068.5993,19990328,315.0,Company
000166,申万宏源,20150126,2503994.456,19960916,13594.0,Company
000301,东方盛虹,20000529,402905.3222,19980716,13118.0,Company
000333,美的集团,20130918,693890.3035,20000407,114765.0,Company
000338,潍柴动力,20070430,793387.3895,20021223,42103.0,Company
000400,许继电气,19970418,100832.7309,19961226,5422.0,Company
000401,冀东水泥,19960614,134752.2914,19940508,20141.0,Company
000402,金融街,19960626,298892.9907,19960618,3557.0,Company
000403,振兴生化,19960628,27257.7599,19950522,1063.0,Company
000404,长虹华意,19960619,69599.5979,19960613,7737.0,Company
000407,胜利股份,19960703,88008.4656,19940511,2001.0,Company
000408,藏格控股,19960628,199377.9522,19960625,1710.0,Company
000409,*ST地矿,19960627,51093.1158,19930302,1548.0,Company;ST
000410,沈阳机床,19960718,76547.0884,19930520,8338.0,Company
000411,英特集团,19960716,24893.9935,19951214,2400.0,Company
000413,东旭光电,19960925,573025.0118,19921226,8606.0,Company
000415,渤海租赁,19960716,618452.1282,19930830,818.0,Company
000416,民生控股,19960719,53187.1494,19791228,51.0,Company
000417,合肥百货,19960812,77988.42,19960729,9558.0,Company
000419,通程控股,19960816,54358.2655,19960810,3071.0,Company
000420,吉林化纤,19960802,197070.6656,19881109,5302.0,Company
000421,南京公用,19960806,57264.6934,19920710,2617.0,Company
000422,ST宜化,19960815,89786.6712,19930906,8442.0,Company;ST
000423,东阿阿胶,19960729,65402.1537,19940604,4836.0,Company
000425,徐工机械,19960828,783366.843,19931215,14318.0,Company
000426,兴业矿业,19960828,186850.0557,19960823,378.0,Company
000428,华天酒店,19960808,101892.6,19960803,4818.0,Company
000429,粤高速A,19980220,209080.6126,19970102,2197.0,Company
000430,张家界,19960829,40481.7686,19921217,1139.0,Company
000488,晨鸣纸业,20001120,290460.82,19930505,15191.0,Company
000498,山东路桥,19970609,112013.9063,19940110,8703.0,Company
000501,鄂武商A,19921120,76899.2731,19911102,9118.0,Company
000502,绿景控股,19921123,18481.9607,19890918,127.0,Company
000503,国新健康,19921130,89882.2204,19870828,1223.0,Company
000504,*ST生物,19921208,31157.3901,19911018,365.0,Company;ST
000505,京粮控股,19921221,68579.0364,19880322,2990.0,Company
000506,中润资源,19930312,92901.7761,19880511,1503.0,Company
000507,珠海港,19930326,93042.4895,19860620,2898.0,Company
000509,华塑控股,19930507,82548.3117,19901018,64.0,Company
000510,新金路,19930507,60918.2254,19920418,2495.0,Company
000513,丽珠集团,19931028,93476.2675,19850126,7671.0,Company
000514,渝开发,19930712,84377.0965,19920908,740.0,Company
000516,国际医学,19930809,197104.9302,19961231,2827.0,Company
000517,荣安地产,19930806,318392.2485,19890519,1432.0,Company
000518,四环生物,19930908,102955.6222,19920518,314.0,Company
000519,中兵红箭,19931008,139255.8982,19980310,8084.0,Company
000520,长航凤凰,19931025,101208.3455,19920615,350.0,Company
000521,长虹美菱,19931018,104459.7881,19961118,16520.0,Company
000523,广州浪奇,19931108,62753.3125,19780620,834.0,Company
000524,岭南控股,19931118,67020.8597,19930114,5919.0,Company
000525,红太阳,19931028,58077.2873,19910613,3599.0,Company
000526,紫光学大,19931101,9619.5107,19920702,14392.0,Company
000528,柳工,19931118,147611.1376,19931108,9807.0,Company
000529,广弘控股,19931118,58379.032999999996,19851105,1749.0,Company
000530,大冷股份,19931208,84321.2507,19931218,1674.0,Company
000531,穗恒运A,19940106,68508.282,19921130,1231.0,Company
000532,华金资本,19940103,34470.834,19921028,635.0,Company
000533,顺钠股份,19940103,69081.6,19921028,1325.0,Company
000534,万泽股份,19940110,49178.5096,19921104,324.0,Company
000536,华映科技,19931126,276603.2803,19950525,5028.0,Company
000537,广宇发展,19931210,186252.072,19860305,1890.0,Company
000538,云南白药,19931215,127740.3317,19931130,8068.0,Company
000539,粤电力A,19931126,525028.3986,19960205,6735.0,Company
000540,中天金融,19940202,700525.4679,19940108,6265.0,Company
000541,佛山照明,19931123,139934.6154,19921020,9234.0,Company
000543,皖能电力,19931220,226686.3331,19931213,3539.0,Company
000544,中原环保,19931208,97468.4488,19961025,1246.0,Company
000545,金浦钛业,19931215,98683.3096,19891115,1006.0,Company
000546,金圆股份,19931215,71464.4396,19980304,3368.0,Company
000547,航天发展,19931130,160567.8881,19931120,2353.0,Company
000548,湖南投资,19931220,49921.5811,19921108,785.0,Company
000550,江铃汽车,19931201,86321.4,19970108,16540.0,Company
000551,创元科技,19940106,40008.0405,19931222,3266.0,Company
000552,靖远煤电,19940106,228697.105,19961228,12683.0,Company
000553,安道麦A,19931203,244655.3582,19980327,1470.0,Company
000554,泰山石油,19931215,48079.3318,19930317,1305.0,Company
000555,神州信息,19940408,96343.1273,19961118,9187.0,Company
000557,西部创业,19940617,145837.4735,19940218,1120.0,Company
000558,莱茵体育,19940509,128922.3949,19880331,174.0,Company
000559,万向钱潮,19940110,275315.9454,19940108,9490.0,Company
000560,我爱我家,19940202,235550.0851,19921130,52415.0,Company
000561,烽火电子,19940509,60469.2321,19920815,2996.0,Company
000563,陕国投A,19940110,396401.2846,19850105,599.0,Company
000564,供销大集,19940110,600782.8231,19961205,9366.0,Company
000565,渝三峡A,19940408,43359.222,19920622,913.0,Company
000566,海南海药,19940525,133597.9264,19921230,2359.0,Company
000567,海德股份,19940525,64113.8926,19870302,63.0,Company
000568,泸州老窖,19940509,146475.2476,19950503,2880.0,Company
000570,苏常柴A,19940701,56137.4326,19940505,3186.0,Company
000571,*ST大洲,19940525,81406.4,19921230,3808.0,Company;ST
000572,*ST海马,19940808,164463.6426,19930126,6278.0,Company;ST
000573,粤宏远A,19940815,64895.5604,19920508,402.0,Company
000576,广东甘化,19940907,44286.1324,19930415,235.0,Company
000581,威孚高科,19980924,100895.05699999999,19881027,5522.0,Company
000582,北部湾港,19951102,163461.6854,19960807,3755.0,Company
000584,哈工智能,19951128,61332.4339,19911010,915.0,Company
000585,*ST东电,19951213,87337.0,19980513,167.0,Company;ST
000586,汇源通信,19951220,19344.0,19940304,983.0,Company
000587,金洲慈航,19960425,212374.93300000002,19960205,698.0,Company
000589,贵州轮胎,19960308,77546.4304,19960129,6337.0,Company
000590,启迪古汉,19960119,23947.1267,19931112,1401.0,Company
000591,太阳能,19960208,300709.8032,19930412,2050.0,Company
000592,平潭发展,19960327,193178.0892,19930908,1030.0,Company
000593,大通燃气,19960312,35863.1009,19940101,824.0,Company
000595,宝塔实业,19960419,76427.925,19960413,1488.0,Company
000596,古井贡酒,19960927,50360.0,19990305,8323.0,Company
000597,东北制药,19960523,60719.9081,19930610,7659.0,Company
000598,兴蓉环境,19960529,298621.8602,19960526,3767.0,Company
000599,青岛双星,19960430,82850.3191,19960424,4531.0,Company
000600,建投能源,19960606,179162.6376,19940118,4443.0,Company
000601,韶能股份,19960830,108055.1669,19930614,5189.0,Company
000603,盛达矿业,19960823,68996.9346,19950622,1214.0,Company
000605,渤海股份,19960913,35265.86,19960910,1315.0,Company
000606,顺利办,19961004,76579.9353,19960924,2880.0,Company
000607,华媒控股,19960830,101769.841,19931218,3155.0,Company
000608,阳光股份,19960919,74991.3309,19960607,147.0,Company
000609,中迪投资,19961010,29926.5522,19930802,233.0,Company
000610,西安旅游,19960926,23674.7901,19961231,779.0,Company
000611,*ST天首,19961008,33782.2022,19960927,35.0,Company;ST
000612,焦作万方,19960926,119219.9394,19961127,2913.0,Company
000613,大东海A,19970128,36410.0,19930426,143.0,Company
000615,京汉股份,19961016,78230.7677,19930608,3702.0,Company
000616,海航投资,19961108,143023.4425,19930527,175.0,Company
000617,中油资本,19961022,903005.6485,19961011,4116.0,Company
000619,海螺型材,19961023,36000.0,19961016,3622.0,Company
000620,新华联,19961029,189669.042,19930625,7939.0,Company
000622,恒立实业,19961107,42522.6,19930508,148.0,Company
000623,吉林敖东,19961028,116303.1428,19930320,3803.0,Company
000625,长安汽车,19970610,480264.8511,19961031,36029.0,Company
000626,远大控股,19961128,54287.4902,19940627,560.0,Company
000627,天茂集团,19961112,494062.9165,19931118,3515.0,Company
000628,高新发展,19961118,31148.0,19921101,897.0,Company
000629,攀钢钒钛,19961115,858974.6202,19930327,3391.0,Company
000630,铜陵有色,19961120,1052653.3308,20011227,15795.0,Company
000631,顺发恒业,19961122,243251.9168,19930702,760.0,Company
000632,三木集团,19961121,46551.957,19921024,651.0,Company
000633,合金投资,19961112,38510.6373,19900312,246.0,Company
000635,英力特,19961120,30308.7602,19961112,2172.0,Company
000636,风华高科,19961129,89523.3111,19940323,6727.0,Company
000637,茂化实华,19961114,51987.5356,19881004,622.0,Company
000638,万方发展,19961126,30940.0,19961120,390.0,Company
000639,西王食品,19961126,107942.8095,20110131,2107.0,Company
000650,仁和药业,19961210,123834.0076,19961204,7362.0,Company
000651,格力电器,19961118,601573.0878,19891213,88800.0,Company
000652,泰达股份,19961128,147557.3852,19810820,1244.0,Company
000655,金岭矿业,19961128,59534.023,19960928,2792.0,Company
000656,金科股份,19961128,533971.5816,19940329,23941.0,Company
000657,中钨高新,19961205,88011.6529,19930318,7889.0,Company
000659,珠海中富,19961203,128570.252,19851218,2103.0,Company
000661,长春高新,19961218,17011.2265,19930610,5072.0,Company
000662,天夏智慧,19961216,109309.7734,19960918,349.0,Company
000663,永安林业,19961206,33668.3929,19940106,2278.0,Company
000665,湖北广电,19961210,96353.3947,19910205,8120.0,Company
000666,经纬纺机,19961210,70413.0,19960329,8684.0,Company
000667,美好置业,19961205,255959.2332,19961017,3732.0,Company
000668,荣丰控股,19961210,14684.188999999998,19920808,160.0,Company
000669,金鸿控股,19961210,68040.8797,19850211,4139.0,Company
000670,*ST盈方,19961217,81662.73599999999,19930222,104.0,Company;ST
000671,阳光城,19961218,405007.3315,19910812,9201.0,Company
000672,上峰水泥,19961218,81361.9871,19970306,1993.0,Company
000673,当代东方,19970124,79155.0442,19970117,575.0,Company
000676,智度股份,19961224,132600.0097,19961216,719.0,Company
000677,恒天海龙,19961226,86397.7948,19890721,932.0,Company
000678,襄阳轴承,19970106,45961.1797,19930506,4464.0,Company
000679,大连友谊,19970124,35640.0,19920728,526.0,Company
000680,山推股份,19970122,124078.7611,19931214,5390.0,Company
000681,视觉中国,19970121,70057.7436,19940528,591.0,Company
000682,东方电子,19970121,134072.7007,19940209,4564.0,Company
000683,远兴能源,19970131,392439.8991,19970123,4794.0,Company
000685,中山公用,19970123,147511.1351,19921226,3940.0,Company
000686,东北证券,19970227,234045.2915,19920717,3552.0,Company
000687,华讯方舟,19970221,76619.9362,19970201,894.0,Company
000688,国城矿业,19970120,113729.9314,19781110,1039.0,Company
000690,宝新能源,19970128,217588.7862,19970120,1390.0,Company
000691,亚太实业,19970228,32327.0,19880212,28.0,Company
000692,惠天热电,19970227,53283.2976,19931228,2606.0,Company
000695,滨海能源,19970218,22214.7539,19970429,447.0,Company
000697,炼石航空,19970325,67161.6059,19930608,2487.0,Company
000698,沈阳化工,19970220,81951.4395,19960520,3056.0,Company
000700,模塑科技,19970228,82718.1692,19880627,5146.0,Company
000701,厦门信达,19970226,40661.3056,19961128,6785.0,Company
000702,正虹科技,19970318,26663.4576,19970312,1152.0,Company
000703,恒逸石化,19970328,284172.5474,19960813,13754.0,Company
000705,浙江震元,19970410,33412.3286,19930402,1861.0,Company
000707,ST双环,19970415,46414.5765,19931227,2031.0,Company;ST
000708,大冶特钢,19970326,44940.848,19930518,3736.0,Company
000709,河钢股份,19970416,1061860.7852,19970118,35723.0,Company
000710,贝瑞基因,19970422,35460.5865,19970414,1608.0,Company
000711,京蓝科技,19970411,102366.7816,19930331,1748.0,Company
000712,锦龙股份,19970415,89600.0,19970409,1444.0,Company
000713,丰乐种业,19970422,42787.2625,19970416,1107.0,Company
000715,中兴商业,19970508,27900.6,19970425,1670.0,Company
000716,黑芝麻,19970418,74639.5905,19930531,2630.0,Company
