Unnamed: 0,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
11234,002246,20190423.0,20190331,泸州北方化学工业有限公司,47145332.0,8.59
11235,002246,20190423.0,20190331,中国国有企业结构调整基金股份有限公司,36210025.0,6.6
11236,002246,20190423.0,20190331,山西新华防护器材有限责任公司,99138233.0,18.06
11237,002246,20190423.0,20190331,西安北方惠安化学工业有限公司,46633882.0,8.49
11238,002246,20190423.0,20190331,中国北方化学工业集团有限公司,50751216.0,9.24
11239,002246,20190423.0,20190331,泸州老窖股份有限公司,1563555.0,0.28
11240,002246,20190423.0,20190331,中兵投资管理有限责任公司,56424300.0,10.28
11241,002234,20190427.0,20190331,中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF),3171900.0,1.05
11243,002234,20190427.0,20190331,联讯证券股份有限公司,1700000.0,0.56
11245,002234,20190427.0,20190331,蓬莱丰发水产有限公司,2600000.0,0.86
11246,002234,20190427.0,20190331,中央汇金资产管理有限责任公司,2525000.0,0.84
11247,002234,20190427.0,20190331,招商银行股份有限公司-鹏华创新驱动混合型证券投资基金,1699838.0,0.56
11248,002234,20190427.0,20190331,太平人寿保险有限公司-分红-团险分红,2800000.0,0.93
11254,002227,20190427.0,20190331,中央汇金资产管理有限责任公司,2671900.0,1.21
11255,002227,20190427.0,20190331,深圳市大方正祥贸易有限公司,1621538.0,0.74
11257,002227,20190427.0,20190331,欧华实业有限公司,127003614.0,57.57
11258,002227,20190427.0,20190331,深圳市宁泰科技投资有限公司,6046161.0,2.74
11259,002227,20190427.0,20190331,深圳市欧立电子有限公司,2707970.0,1.23
11260,002227,20190427.0,20190331,深圳市盛能投资管理有限公司,5945562.0,2.7
11261,002244,20190425.0,20190331,建信基金-兴业银行-华鑫信托-华鑫信托·慧智投资99号集合资金信托计划,70004874.0,2.25
11262,002244,20190425.0,20190331,中央汇金资产管理有限责任公司,50056600.0,1.61
11264,002244,20190425.0,20190331,杭州滨江投资控股有限公司,1336441272.0,42.95
11265,002244,20190425.0,20190331,华鑫国际信托有限公司-华鑫信托·慧智投资97号集合资金信托计划,96616600.0,3.11
11266,002244,20190425.0,20190331,全国社保基金四一八组合,45863202.0,1.47
11267,002244,20190425.0,20190331,北信瑞丰基金-招商银行-华鑫国际信托-华鑫信托·慧智投资98号集合资金信托计划,62190000.0,2.0
11270,002244,20190425.0,20190331,招商银行股份有限公司-光大保德信优势配置混合型证券投资基金,36430100.0,1.17
11271,002239,20190425.0,20190331,北京天佑投资有限公司,325438596.0,10.39
11272,002239,20190425.0,20190331,珠海宏源田明投资中心(有限合伙),120708447.0,3.85
11273,002239,20190425.0,20190331,江苏帝奥控股集团股份有限公司,491813167.0,15.17
11274,002239,20190425.0,20190331,湘江产业投资有限责任公司,41453616.0,1.32
11275,002239,20190425.0,20190331,南京永升新能源技术有限公司,55292983.0,1.77
11276,002239,20190425.0,20190331,珠海天运鼎成企业管理中心(有限合伙),125304873.0,4.0
11277,002239,20190425.0,20190331,江苏天佑金淦投资有限公司,353832788.0,11.3
11278,002239,20190425.0,20190331,牡丹江华通汽车零部件有限公司,45130686.0,1.44
11279,002239,20190425.0,20190331,西藏天佑投资有限公司,62026147.0,1.98
11281,002238,20190425.0,20190331,深圳市坪山新区发展和财政局,1127765.0,0.18
11282,002238,20190425.0,20190331,北京成泉资本管理有限公司-成泉汇涌一期基金,1290084.0,0.21
11283,002238,20190425.0,20190331,深圳市宝安区国有资产监督管理委员会,31523044.0,5.11
11284,002238,20190425.0,20190331,华润深国投信托有限公司-华润信托·瑞智精选成泉汇涌九期集合资金信托计划,1025096.0,0.17
11285,002238,20190425.0,20190331,华润深国投信托有限公司-华润信托·悦享1期集合资金信托计划,2927413.0,0.47
11286,002238,20190425.0,20190331,深圳市龙岗区国有资产监督管理委员会,24938500.0,4.04
11287,002238,20190425.0,20190331,中国电信股份有限公司,48672000.0,7.88
11288,002238,20190425.0,20190331,中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,17776380.0,2.88
11289,002238,20190425.0,20190331,中信信托有限责任公司-中信信托鑫涌成泉金融投资集合资金信托计划,2436028.0,0.39
11290,002238,20190425.0,20190331,深圳广播电影电视集团,356663124.0,57.77
11294,300713,20190621.0,20190613,建水县深瑞企业管理中心(有限合伙),6050712.0,6.33
11299,300713,20190429.0,20190331,深圳市前海深瑞投资管理合伙企业(有限合伙),6050712.0,6.33
11301,002226,20190426.0,20190331,浙江舟山如山新能源投资合伙企业(有限合伙),30031076.0,2.4
11302,002226,20190426.0,20190331,诸暨永天投资有限公司,53708100.0,4.3
11303,002226,20190426.0,20190331,舟山新能股权投资合伙企业(有限合伙),8789251.0,0.7
11304,002226,20190426.0,20190331,安徽大安投资管理有限公司,10068113.0,0.81
11305,002226,20190426.0,20190331,盾安控股集团有限公司,459824882.0,36.82
11306,002226,20190426.0,20190331,兴业全球基金-上海银行-浙江中升港通贸易有限公司,19262901.0,1.54
11307,002226,20190426.0,20190331,创金合信基金-工商银行-创金合信-鼎鑫江南化工1号结构化资产管理计划,14004814.0,1.12
11308,002226,20190426.0,20190331,浙江青鸟旅游投资集团有限公司,49715195.0,3.98
11309,002226,20190426.0,20190331,杭州秋枫投资管理合伙企业(有限合伙),37538846.0,3.01
11310,002226,20190426.0,20190331,安徽盾安化工集团有限公司,108480000.0,8.69
11313,002217,20190424.0,20190331,青岛国信资本投资有限公司,30468518.0,0.98
11314,002217,20190424.0,20190331,西部信托有限公司-西部信托·合力泰第一期1号员工持股集合资金信托计划,78765489.0,2.53
11317,002217,20190424.0,20190331,比亚迪股份有限公司,346360994.0,11.11
11318,002217,20190424.0,20190331,陕西省国际信托股份有限公司-陕国投·合力泰第一期2号员工持股集合资金信托计划,56085000.0,1.8
11320,002217,20190424.0,20190331,福建省电子信息(集团)有限责任公司,469246605.0,15.06
11322,002434,20190426.0,20190331,香港利邦实业有限公司,196165000.0,14.64
11323,002434,20190426.0,20190331,浙江万里扬股份有限公司回购专用证券账户,27400000.0,2.04
11324,002434,20190426.0,20190331,万里扬集团有限公司,384075744.0,28.66
11325,002434,20190426.0,20190331,金华市众成投资有限公司,52785000.0,3.94
11327,002434,20190426.0,20190331,浙江万里扬股份有限公司-第一期员工持股计划,30000000.0,2.24
11328,002434,20190426.0,20190331,奇瑞汽车股份有限公司,165289256.0,12.34
11330,002434,20190426.0,20190331,中央汇金资产管理有限责任公司,10870800.0,0.81
11334,002195,20190418.0,20190331,香港中央结算有限公司(陆股通),26288693.0,0.59
11336,002195,20190418.0,20190331,浙富控股集团股份有限公司,634331539.0,14.28
11338,002195,20190418.0,20190331,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,31635213.0,0.71
11339,002195,20190418.0,20190331,曲水信佳科技有限公司,54957139.0,1.24
11348,002397,20190427.0,20190331,金鹰基金-浦发银行-厦门信托-厦门信托-财富共赢24号单一资金信托,38120320.0,4.89
11350,002397,20190427.0,20190331,泰达宏利基金-工商银行-天津信托-天津信托·优选定增21号单一资金信托,38120320.0,4.89
11352,002194,20190425.0,20190331,上海富诚海富通资产-海通证券-富诚海富通稳胜共赢十七号专项资产管理计划,2192000.0,0.39
11353,002194,20190425.0,20190331,中国证券金融股份有限公司,5617045.0,0.99
11357,002194,20190425.0,20190331,深圳市恒信华业股权投资基金管理有限公司-平潭华业价值投资合伙企业(有限合伙),53643624.0,9.5
11358,002194,20190425.0,20190331,深圳市恒信华业股权投资基金管理有限公司-平潭华业战略投资合伙企业(有限合伙),53643624.0,9.5
11361,002247,20190430.0,20190331,天津紫田企业管理咨询合伙企业(有限合伙),34417469.0,4.04
11362,002247,20190430.0,20190331,宁波启亚天道企业管理咨询有限公司,80000000.0,9.4
11364,002247,20190430.0,20190331,火凤天翔科技(北京)有限公司,20606060.0,2.42
11368,002247,20190430.0,20190331,浙江帝龙控股有限公司,27900000.0,3.28
11369,002247,20190430.0,20190331,苏州聚力互盈投资管理中心(有限合伙),28195959.0,3.31
11370,002247,20190430.0,20190331,杭州哲信信息技术有限公司,29535353.0,3.47
11371,002176,20190426.0,20190331,中央企业贫困地区(江西)产业投资基金合伙企业(有限合伙),35571519.0,2.08
11372,002176,20190426.0,20190331,财通基金-宁波银行-财通基金-安吉61号单一资产管理计划,47428693.0,2.78
11373,002176,20190426.0,20190331,江西江特电气集团有限公司,240875533.0,14.12
11374,002176,20190426.0,20190331,财通基金-宁波银行-财通基金-安吉62号单一资产管理计划,23714347.0,1.39
11375,002176,20190426.0,20190331,宜春市袁州区金融控股有限公司,47428694.0,2.78
11376,002176,20190426.0,20190331,宜春市袁州区国有资产运营有限公司,56180167.0,3.29
11377,002176,20190426.0,20190331,中央汇金资产管理有限责任公司,16612200.0,0.97
11378,002176,20190426.0,20190331,宜春市城市建设投资开发有限公司,35571519.0,2.08
11379,002176,20190426.0,20190331,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,14213500.0,0.83
